texts,kota,type_kos,area,fasilitas,harga_nomina
"Campur
 
        Sisa 2 Kamar
   
                                Kost De' Leota Tipe C Petempen Semarang Tengah
                          Semarang Tengah 
                                K. Mandi Dalam · WiFi · Akses 24 Jam
                             
                                                        Rp 1.600.000
                                                 
                                                        / bulan",semarang,Campur,Semarang Tengah,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1600000
"Kos Andalan
 
        Campur
    
                                Kost DS CoLive  34 Pecinan Semarang Tengah
                          Semarang Tengah 
                                K. Mandi Dalam · WiFi · Akses 24 Jam
                             
                                                        Rp 2.000.000
                                                 
                                                        / bulan",semarang,Campur,Semarang Tengah,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",2000000
"Kos Andalan
 
	Campur
    
				Kost Altaf Putra Tipe A Purwosari Rejosari Semarang Timur
			  Semarang Timur 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Campur,Semarang Timur,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1000000
"Kos Andalan
 
	Campur
    
				Kost Pantes Brumbungan Loyola Semarang Tengah
			  Semarang Tengah 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 3.500.000
						 
							/ bulan",semarang,Campur,Semarang Tengah,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",3500000
"Campur
 
	Sisa 3 Kamar
   
				Kost De' Leota Tipe A Petempen Semarang Tengah
			  Semarang Tengah 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.400.000
						 
							/ bulan",semarang,Campur,Semarang Tengah,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1400000
"Kos Andalan
 
	Campur
    
				Kost Pantes Kota Lama Semarang Tengah
			  Semarang Tengah 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 2.499.000
						 
							/ bulan",semarang,Campur,Semarang Tengah,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",2499000
"Campur
 
	Sisa 2 Kamar
   
				Kost Senjoyo Residence Semarang  Timur
			  Semarang Timur 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.700.000
						 
							/ bulan
						  4.6",semarang,Campur,Semarang Timur,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1700000
"Kos Andalan
 
	Putri
    
				Kost Poncol Perbalan Semarang
			  Semarang Utara 
				WiFi · Akses 24 Jam
			     
							Rp 500.000
						 
							/ bulan
						  3.8",semarang,Putri,Semarang Utara,"['WiFi','Akses 24 Jam']",500000
"Campur
 
	Sisa 3 Kamar
   
				Kost Home Stay Sun Semarang Utara
			  Semarang Utara 
				WiFi · Akses 24 Jam
			     
							Rp 950.000
						 
							/ bulan",semarang,Campur,Semarang Utara,"['WiFi ', ' Akses 24 Jam']",950000
"Campur
 
	Sisa 4 Kamar
   
				Kost Keluarga Citarum Semarang Timur
			  Semarang Timur 
				
			     
							Rp 550.000
						 
							/ bulan",semarang,Campur,Semarang Timur,[''],550000
"Kos Andalan
 
	Campur
    
				Kost Exclusive Karyawan Tipe B Semarang Timur
			  Semarang Timur 
				K. Mandi Dalam · WiFi
			     
							Rp 1.850.000
						 
							/ bulan",semarang,Campur,Semarang Timur,"['K. Mandi Dalam','WiFi']",1850000
"Kos Andalan
 
	Putri
    
				Kost Senjoyo Tipe B Semarang Timur
			  Semarang Timur 
				WiFi · Akses 24 Jam
			     
							Rp 550.000
						 
							/ bulan",semarang,Putri,Semarang Timur,"['WiFi','Akses 24 Jam']",550000
"Campur
 
	Sisa 3 Kamar
   
				Kost Sun Tipe B Semarang Utara Semarang
			  Semarang Utara 
				WiFi · Akses 24 Jam
			     
							Rp 950.000
						 
							/ bulan",semarang,Campur,Semarang Utara,"['WiFi ', ' Akses 24 Jam']",950000
"Kos Andalan
 
	Putra
    
				Kost Patriot Semarang Utara
			  Semarang Utara 
				Akses 24 Jam
			     
							Rp 500.000
						 
							/ bulan",semarang,Putra,Semarang Utara,['Akses 24 Jam'],500000
"Campur
 
	Sisa 4 Kamar
   
				Kost De' Leota Tipe B Petempen Semarang Tengah
			  Semarang Tengah 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.450.000
						 
							/ bulan",semarang,Campur,Semarang Tengah,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1450000
"Putri
 
	Sisa 1 Kamar
   
				Kost Anugerah Jl Citarum Tengah No 1 Tipe C Semarang
			  Semarang Timur 
				K. Mandi Dalam · WiFi
			     
							Rp 1.200.000
						 
							/ bulan",semarang,Putri,Semarang Timur,"['K. Mandi Dalam ', ' WiFi']",1200000
"Campur
 
        Sisa 1 Kamar
   
                                Kost Keluarga Semarang Timur
                           
                                K. Mandi Dalam · Akses 24 Jam
                             
                                                        Rp 900.000
                                                 
                                                        / bulan",semarang,Campur,Semarang Timur,"['K. Mandi Dalam ', ' Akses 24 Jam']",900000
"Putri
    
				Kost Agus Salim Semarang Tengah Semarang
			  Semarang Tengah 
				K. Mandi Dalam · WiFi
			     
							Rp 1.500.000
						 
							/ bulan",semarang,Putri,Semarang Tengah,"['K. Mandi Dalam','WiFi']",1500000
"Kos Andalan
 
	Campur
    
				Kost Rejosari UPGRIS Semarang
			  Semarang Timur 
				WiFi · Akses 24 Jam
			     
							Rp 500.000
						 
							/ bulan",semarang,Campur,Semarang Timur,"['WiFi','Akses 24 Jam']",500000
"Putri
    
                                Kost Anugerah Jl Citarum Tengah No 1 Tipe B Semarang
                          Semarang Timur 
                                K. Mandi Dalam · WiFi
                             
                                                        Rp 850.000
                                                 
                                                        / bulan",semarang,Putri,Semarang Timur,"['K. Mandi Dalam','WiFi']",850000
